"","act","mod","e1","e2","e3","expert.1","expert.2","expert.3","docket","casename","certdate","argudate","ctbelow","constat","subjmatt","numexper","courtact","issue","value","dir","vote","constit","statut","comlaw","criminal","courtmod","har_value","har_dir","ali_issue","ali_value","just","exp.tot"
"1158",0,0,0,0,0,636,856,616,"""01-1757""","""Stogner v. California""","2002-12-02","2003-03-31","""CA-CA, 1st App Dist""",NA,NA,3,0,NA,1,1,NA,1,0,0,1,0,1,1,80,1,9,0
"1188",0,1,1,1,1,241,71,94,"""01-1806""","""Ryan, Atty. General of IL v. Telemarketing Associates""","2002-11-04","2003-03-03","""SC-IL""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,0,411,3,9,1
"1218",1,0,1,0,0,337,972,875,"""01-1862""","""Woodford v. Garceau""","2002-10-01","2003-01-21","""CA-9""",NA,NA,3,0,13,1,0,63,0,1,0,1,0,1,0,13,1,9,0.333333333333333
"1248",0,0,0,0,0,510,930,875,"""01-6978""","""Ewing v. California""","2002-04-01","2002-11-05","""CA-CA, 2nd Dist.""",NA,NA,3,1,41,1,0,54,1,0,0,1,0,1,0,41,1,9,0
"1278",0,0,0,1,0,421,972,20,"""01-7574""","""Sattazahn v, Pennsylvania""","2002-03-18","2002-11-04","""SC-PA, E. Dist.""",NA,NA,3,1,70,1,0,54,1,0,0,1,1,1,0,70,1,9,0.333333333333333
"1308",0,0,0,0,1,421,70,375,"""01-7662""","""Miller-el v. Cockrell""","2002-02-15","2002-10-16","""USCA-5""",NA,NA,3,0,13,1,1,81,1,1,0,1,0,1,1,13,1,9,0.333333333333333
"1338",1,0,0,0,NA,882,895,NA,"""02-0042""","""CA Franchise Tax Board v. Hyatt, Gilbert, et al""","2002-10-15","2003-02-24","""SC-NV""",NA,NA,2,1,NA,10,NA,NA,1,0,0,0,0,11,NA,626,8,9,0
"1368",0,1,0,0,1,973,540,213,"""02-0069""","""Roell v. Withrow""","2002-11-04","2003-02-26","""USCA-5""",NA,NA,3,0,NA,9,0,NA,0,1,0,0,0,9,1,852,9,9,0.333333333333333
"1398",0,0,1,1,0,988,524,465,"""02-0094""","""Overton v. Bazzetta""","2002-12-02","2003-03-26","""USCA-6""",NA,NA,3,0,NA,2,0,NA,1,0,0,0,0,3,1,504,4,9,0.666666666666667
"1428",0,0,0,0,0,241,23,255,"""02-0102""","""Lawrence v. Texas""","2002-12-02","2003-03-26","""CA-TX, 14th Dist""",NA,NA,3,0,NA,5,1,NA,1,0,0,1,0,5,1,501,4,9,0
"1458",1,1,1,1,NA,483,779,NA,"""02-0182""","""Georgia v. Ashcroft""","2003-01-17","2003-04-29","""USCA-DC""",NA,NA,2,0,NA,2,1,NA,0,1,0,0,0,2,0,250,2,9,0
"1488",0,1,0,1,1,223,110,611,"""02-0215""","""Pacificare v. Book, Jeffrey, et al""","2002-10-15","2003-02-24","""USCA-11""",NA,NA,3,0,NA,8,0,NA,0,0,1,0,0,8,0,653,8,9,0.666666666666667
"1518",1,1,1,1,1,602,949,512,"""02-0241""","""Grutter v. Bollinger""","2002-12-02","2003-04-01","""USCA-6""",NA,NA,3,1,NA,2,1,NA,1,0,0,0,0,2,1,223,2,9,1
"1548",0,0,0,0,NA,482,636,NA,"""02-0258""","""Jinks v. Richland County""","2002-10-21","2003-03-05","""SC-SC""",NA,NA,2,0,NA,10,1,NA,1,0,0,0,1,9,1,939,10,9,0
"1578",0,0,0,1,1,103,818,81,"""02-0281""","""Inyo County v. Paiute-Shoshone Indians""","2002-12-02","2003-03-31","""USCA-9""",NA,NA,3,0,NA,2,0,NA,0,1,0,0,0,2,0,16,1,9,0.666666666666667
